epsilon,abs_dev,dro
75.0,111.45958812966418,39.47
125.0,112.14248668437114,39.42
250.0,112.75035110316212,39.379999999999995
375.0,137.490130902423,34.78
500.0,148.30493286783604,33.28
25.0,39.19999945178071,70.35
75.0,60.675315236827124,60.27
125.0,80.74393076084466,45.45
250.0,110.5632095746556,37.88
375.0,132.97480104022645,34.81
500.0,149.19116573879086,32.78
25.0,39.19999988944609,66.47
75.0,117.59999916309302,37.25
125.0,195.52139975038912,29.659999999999997
250.0,205.66913541670777,28.57
375.0,205.66858244064065,28.57
500.0,205.67071951833202,28.57
25.0,39.19999977734513,68.04
75.0,91.37860924206589,44.56
125.0,91.37712549270219,44.56
250.0,115.81760641385088,37.63
375.0,133.80165027328084,34.510000000000005
500.0,147.9566638341317,32.99
25.0,39.19999974252367,68.58999999999999
75.0,77.71291399782734,50.760000000000005
125.0,78.22681331516841,50.49
250.0,110.66070813552435,37.99
375.0,132.6231021478701,34.89
500.0,148.1810473162011,32.57
