epsilon,abs_dev,dro
25.0,39.199999903596364,66.36
75.0,117.59999898015407,37.05
125.0,195.99999331200917,29.160000000000004
250.0,229.27618865059787,25.11
375.0,229.27981184525342,25.11
500.0,229.28256383530046,25.11
25.0,39.199999906188495,66.52
75.0,117.59999893356154,37.269999999999996
125.0,194.46982009433637,29.93
250.0,200.31747373724727,29.409999999999997
375.0,200.31665559667766,29.409999999999997
500.0,200.31842810461427,29.409999999999997
25.0,39.19999989673058,66.55
75.0,117.59999921048963,37.24
125.0,193.66414449007317,30.15
250.0,197.8766253701966,29.799999999999997
375.0,197.87505202219634,29.799999999999997
500.0,197.87871800881214,29.799999999999997
25.0,39.199999896278186,66.53
75.0,117.59999914091775,37.25
125.0,192.44701700870175,30.25
250.0,195.22717662739913,30.11
375.0,195.22679075773834,30.11
500.0,195.22809898933994,30.11
25.0,39.19999989021974,66.53
75.0,117.59999907046759,37.32
125.0,185.46134418443913,31.019999999999996
250.0,185.68992310326,31.04
375.0,185.69124647884075,31.04
500.0,185.69062762648534,31.04
25.0,39.199999911568746,66.57
75.0,117.59999877229768,37.38
125.0,172.63638528924253,31.91
250.0,172.6564417894885,31.91
375.0,172.6572442316107,31.91
500.0,172.6572550828946,31.91
25.0,39.199999871200696,66.53
75.0,117.59999877677315,37.26
125.0,190.8023022414124,30.5
250.0,192.33833622202445,30.459999999999997
375.0,192.3382055105314,30.459999999999997
500.0,192.33967210398535,30.459999999999997
25.0,39.19999988346931,66.57
75.0,117.59999872243085,37.29
125.0,181.70992125548113,31.4
250.0,181.82680204021258,31.41
375.0,181.82808418421226,31.41
500.0,181.8285267331265,31.41
25.0,39.19999990862246,66.61
75.0,117.59999864045442,37.41
125.0,167.13106895095984,32.56
250.0,167.12923664074634,32.56
375.0,167.1300059750993,32.56
500.0,167.13006630251974,32.56
25.0,39.19999986729307,66.53
75.0,117.5999987917177,37.3
125.0,188.47817138520404,30.659999999999997
250.0,189.1757370433825,30.64
375.0,189.1746966501761,30.64
500.0,189.1764529885812,30.64
25.0,39.19999989551973,66.58
75.0,117.59999896590202,37.31
125.0,177.44108910228996,31.630000000000003
250.0,177.51353834125445,31.64
375.0,177.5137538167491,31.64
500.0,177.51353182937453,31.64
25.0,39.199999868142235,66.7
75.0,117.59999847680955,37.4
125.0,160.7693863144616,33.239999999999995
250.0,160.76857571969455,33.239999999999995
375.0,160.7679582328661,33.239999999999995
500.0,160.7684647419075,33.239999999999995
25.0,39.19999990715715,66.49000000000001
75.0,117.59999907602146,37.24
125.0,195.21755237080387,29.720000000000002
250.0,203.64452029066902,28.87
375.0,203.64400345980428,28.87
500.0,203.64706372273398,28.87
25.0,39.19999984462389,67.27
75.0,115.78632053046697,38.56
125.0,120.33293820179682,37.95
250.0,120.3323879835067,37.95
375.0,133.68622416462,36.02
500.0,147.92170966130473,33.75
25.0,39.19999986172368,66.89
75.0,117.59999846075571,37.53
125.0,144.5133235140623,34.78
250.0,144.51262067527716,34.78
375.0,144.51279041501303,34.78
500.0,145.74521952753935,34.599999999999994
25.0,39.19999980520467,67.73
75.0,102.61377930116092,41.449999999999996
125.0,102.63037988507409,41.44
250.0,109.23522907146224,40.11
375.0,131.84885553175423,35.19
500.0,147.66820117701363,33.03
25.0,39.19999986346933,66.47999999999999
75.0,117.59999904366273,37.25
125.0,195.01940948549804,29.799999999999997
250.0,202.57687796688074,29.099999999999998
375.0,202.57605609265627,29.099999999999998
500.0,202.57929420740467,29.099999999999998
25.0,39.19999988468686,66.81
75.0,117.59999871024178,37.5
125.0,153.3403069238874,33.87
250.0,153.34004791635448,33.87
375.0,153.3400530355196,33.87
500.0,153.65163867768985,33.83
25.0,39.19999987500636,67.03
75.0,117.56316705418739,37.87
125.0,133.79801890046076,36.09
250.0,133.79735281512845,36.09
375.0,134.42088627857564,36.09
500.0,150.27962903378278,33.86
25.0,39.19999988669515,66.47999999999999
75.0,117.59999904427276,37.25
125.0,195.37963921612217,29.69
250.0,204.67491771189034,28.73
375.0,204.67443991239097,28.73
500.0,204.67625857557638,28.73
25.0,39.19999986744068,66.47999999999999
75.0,117.59999882972993,37.25
125.0,194.77317351101024,29.92
250.0,201.46871141760178,29.25
375.0,201.46736817292643,29.25
500.0,201.4705272983253,29.25
